Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;38.2698;;;17-Feb-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;38.3284;;;18-Feb-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;38.5892;;;19-Feb-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;38.3406;;;20-Feb-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;36.6657;;;24-Feb-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;35.5725;;;25-Feb-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;35.4105;;;26-Feb-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;34.0051;;;27-Feb-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;34.3352;;;28-Feb-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;35.7821;;;02-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;35.1756;;;03-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;36.6542;;;04-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;35.4927;;;05-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;34.9217;;;06-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;32.4847;;;09-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;32.3735;;;11-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;29.9960;;;12-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;32.1910;;;13-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;28.6586;;;16-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;30.0458;;;17-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;28.5819;;;18-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;29.5145;;;19-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;28.3566;;;20-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;28.2084;;;23-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;30.7839;;;24-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;31.0765;;;25-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;32.3971;;;26-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;31.1881;;;27-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;32.4055;;;30-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;31.8446;;;31-Mar-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;30.4371;;;01-Apr-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;30.7434;;;03-Apr-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;32.5119;;;07-Apr-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;34.1080;;;08-Apr-2020
116632;Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend;INF090I01EV3;INF090I01EU5;34.4277;;;09-Apr-2020